Image Path,Predicted Label
C:\Users\KIIT\Downloads\Project\conv\1-041.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-042.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-043.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-044.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-045.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-046.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-047.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-048.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-049.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-05.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-050.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-051.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-052.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-053.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-054.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-055.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-056.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-057.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-058.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-059.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-06.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-060.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-061.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-062.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-063.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-064.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-065.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-066.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-067.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-068.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-069.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-07.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-070.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-071.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-072.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-073.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-074.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-075.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-076.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-077.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-078.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-079.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-08.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-080.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-081.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-082.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-083.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-084.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-085.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-086.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-087.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-088.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-089.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-09.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-090.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-091.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-092.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-093.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-094.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-095.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-10.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-11.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-12.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-13.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-14.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-15.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-16.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-17.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-18.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-19.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-20.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-21.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-22.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-23.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-24.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-25.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-26.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-27.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-28.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-29.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-30.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-31.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-32.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-33.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-34.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-35.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-36.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-37.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-38.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-39.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-40.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-41.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-42.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-43.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-44.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-45.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-46.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-47.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-48.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-49.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-50.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-51.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-52.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-53.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-54.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-55.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-56.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-57.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-58.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-59.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-60.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-61.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-62.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-63.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-64.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-65.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-66.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-67.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-68.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-69.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-70.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-71.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-72.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-73.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-74.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-75.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-76.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-77.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-78.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-79.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-80.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-81.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-82.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-83.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-84.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-85.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-86.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-87.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-88.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\1-89.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-001.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-002.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-003.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-004.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-005.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-006.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-007.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-008.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-009.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-010.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-011.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-012.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-013.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-014.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-015.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-016.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-017.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-018.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-019.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-020.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-021.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-022.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-023.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-024.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-025.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-026.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-027.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-028.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-029.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-030.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-031.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-032.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-033.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-034.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-035.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-036.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-037.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-038.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-039.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-040.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-041.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-042.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-043.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-044.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-045.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-046.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-047.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-048.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-049.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-050.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-051.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-052.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-053.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-054.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-055.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-056.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-057.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-058.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-059.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-060.png,Non-cancerous
C:\Users\KIIT\Downloads\Project\conv\2-061.png,Non-cancerous
